                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2083,                  4.612,                  1.916,                0.01525,                0.05106,                0.01783,                0.01274,                 1.2567,                 3.9686,                  1.132,             0.00010468,             0.00010468,             0.00010468
                      2,                 1.2576,                  3.823,                 1.1171,                0.03892,                0.46466,                0.06761,                0.04818,                 1.3845,                  3.713,                 1.1999,             0.00020534,             0.00020534,             0.00020534
                      3,                 1.2133,                 3.3825,                 1.0949,                0.38548,                0.23199,                0.13096,                0.09323,                 1.1472,                 3.1627,                  1.073,             0.00029889,             0.00029889,             0.00029889
                      4,                 1.2293,                 2.9874,                 1.1087,                0.56063,                0.25709,                0.23919,                0.17178,                 1.0806,                 2.5097,                 1.0657,             0.00029102,             0.00029102,             0.00029102
                      5,                 1.1856,                 2.6093,                 1.1101,                 0.6427,                0.34193,                0.36974,                0.26438,                 1.0888,                 2.0386,                 1.0679,             0.00029102,             0.00029102,             0.00029102
                      6,                 1.1644,                 2.3089,                 1.1005,                0.69735,                0.43789,                0.46455,                0.33614,                 1.0798,                 1.7322,                 1.0906,             0.00028036,             0.00028036,             0.00028036
                      7,                 1.1551,                 2.0697,                 1.0955,                0.64745,                 0.5026,                0.56164,                0.40883,                 1.0707,                 1.5664,                 1.0837,             0.00026971,             0.00026971,             0.00026971
                      8,                 1.1211,                 1.8519,                 1.0846,                0.83522,                0.46815,                0.62526,                0.46991,                 1.0259,                 1.3999,                 1.0565,             0.00025905,             0.00025905,             0.00025905
                      9,                 1.1012,                 1.6931,                 1.0787,                0.77836,                0.56173,                0.66918,                0.52193,                0.97123,                 1.3104,                 1.0423,             0.00024839,             0.00024839,             0.00024839
                     10,                 1.0617,                 1.5507,                 1.0537,                0.72764,                0.69029,                0.70859,                0.54001,                0.98967,                 1.1833,                 1.0422,             0.00023773,             0.00023773,             0.00023773
                     11,                 1.0275,                 1.4445,                 1.0493,                0.71732,                0.71321,                 0.7274,                0.56283,                0.93859,                 1.0847,                 1.0251,             0.00022707,             0.00022707,             0.00022707
                     12,                 1.0325,                 1.3634,                   1.05,                0.64424,                0.72446,                0.76609,                0.57039,                 1.0297,                  1.113,                 1.0644,             0.00021641,             0.00021641,             0.00021641
                     13,                 1.0398,                  1.314,                  1.038,                0.69361,                0.77472,                0.79937,                0.61545,                0.92723,                0.99949,                 1.0066,             0.00020575,             0.00020575,             0.00020575
                     14,                 1.0009,                 1.2579,                 1.0376,                0.84707,                0.77399,                0.87211,                0.67546,                0.91564,                0.92951,                 1.0121,             0.00019509,             0.00019509,             0.00019509
                     15,                0.99152,                 1.1943,                 1.0226,                0.70925,                0.86237,                0.90395,                0.70787,                0.89062,                 0.8627,                 1.0038,             0.00018443,             0.00018443,             0.00018443
                     16,                0.99647,                 1.1578,                 1.0314,                0.79703,                0.84135,                0.91248,                0.71395,                0.89197,                0.83712,                0.99589,             0.00017377,             0.00017377,             0.00017377
                     17,                0.95386,                 1.1194,                 1.0118,                0.84697,                0.80969,                0.92177,                 0.7119,                0.91434,                0.87356,                 1.0136,             0.00016311,             0.00016311,             0.00016311
                     18,                0.98195,                 1.1198,                 1.0216,                  0.838,                0.85603,                0.91385,                0.68422,                0.95561,                0.81014,                 1.0073,             0.00015246,             0.00015246,             0.00015246
                     19,                0.96048,                 1.0593,                 1.0024,                0.75804,                0.88512,                0.92122,                0.70566,                0.91451,                0.77125,                0.99721,              0.0001418,              0.0001418,              0.0001418
                     20,                0.93645,                 1.0241,                 1.0025,                0.86547,                0.86026,                 0.9369,                0.72653,                0.90406,                0.77886,                0.99693,             0.00013114,             0.00013114,             0.00013114
                     21,                0.92095,                 1.0654,                 1.0061,                0.89412,                0.87801,                0.96055,                0.75766,                  0.859,                0.76546,                0.97183,             0.00012048,             0.00012048,             0.00012048
                     22,                0.90558,                0.94868,                  1.002,                0.77991,                0.94776,                0.96089,                 0.7623,                0.87618,                0.72531,                0.98696,             0.00010982,             0.00010982,             0.00010982
                     23,                0.88072,                0.91802,                0.98677,                0.87686,                0.93013,                0.96799,                0.75799,                0.89565,                0.72405,                 1.0032,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     24,                 0.8906,                0.90909,                0.99176,                0.92062,                0.91735,                0.98652,                0.78024,                0.87635,                 0.6921,                0.99386,             8.8502e-05,             8.8502e-05,             8.8502e-05
                     25,                0.86584,                0.86811,                0.98022,                0.90591,                0.92639,                0.98575,                0.77397,                0.85905,                0.67648,                0.98842,             7.7843e-05,             7.7843e-05,             7.7843e-05
                     26,                0.85014,                0.85135,                0.97751,                0.86076,                0.95079,                0.97618,                0.78219,                0.84903,                  0.675,                0.97741,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     27,                0.83835,                0.85014,                0.97233,                0.89779,                0.93278,                0.98395,                0.77776,                0.83876,                0.66383,                0.97944,             5.6525e-05,             5.6525e-05,             5.6525e-05
                     28,                0.83621,                0.82898,                 0.9704,                0.89915,                0.91377,                 0.9756,                0.77812,                0.83352,                0.64795,                0.97083,             4.5866e-05,             4.5866e-05,             4.5866e-05
                     29,                0.84182,                0.83468,                0.96714,                0.89255,                 0.9499,                0.98202,                0.78502,                0.82623,                0.64313,                0.96884,             3.5207e-05,             3.5207e-05,             3.5207e-05
                     30,                0.82077,                0.81482,                0.96522,                0.94037,                0.91084,                0.99045,                 0.7933,                0.82043,                0.63432,                0.96775,             2.4548e-05,             2.4548e-05,             2.4548e-05
